has_stockout,total_stockout_kg,first_stockout_day,number_of_stockout_days,fw_stockout_days,fuel_stockout_days,ammo_stockout_days,total_fw_stockout_kg,total_fuel_stockout_kg,total_ammo_stockout_kg
true,301129.354104,16,9,0,0,9,0.000000,0.000000,301129.354104
true,7754.322093,18,1,0,0,1,0.000000,0.000000,7754.322093
true,29401.019635,73,1,0,0,1,0.000000,0.000000,29401.019635
true,9856.123381,97,2,1,0,2,198.532544,0.000000,9657.590837
true,6505.866677,14,2,0,0,2,0.000000,0.000000,6505.866677
true,56116.356367,13,9,3,0,7,515.538787,0.000000,55600.817580
true,10605.146964,42,4,1,0,3,103.618103,0.000000,10501.528862
true,10164.101124,38,3,1,0,2,129.575958,0.000000,10034.525166
true,26436.775608,16,4,0,0,4,0.000000,0.000000,26436.775608
true,109821.853430,58,5,0,0,5,0.000000,0.000000,109821.853430
true,8534.417410,44,1,0,0,1,0.000000,0.000000,8534.417410
true,6448.346909,90,1,0,0,1,0.000000,0.000000,6448.346909
true,165592.453263,20,4,1,0,3,208.865539,0.000000,165383.587724
true,24756.417453,7,4,1,0,3,219.362343,0.000000,24537.055110
true,20192.439438,59,1,0,0,1,0.000000,0.000000,20192.439438
true,35945.775979,16,2,0,0,2,0.000000,0.000000,35945.775979
true,241663.056961,66,15,0,0,15,0.000000,0.000000,241663.056961
true,64.965195,20,1,0,0,1,0.000000,0.000000,64.965195
true,11211.115354,63,4,0,0,4,0.000000,0.000000,11211.115354
true,41014.497470,37,4,0,0,4,0.000000,0.000000,41014.497470
true,182488.386543,38,8,0,0,8,0.000000,0.000000,182488.386543
true,14848.441233,9,3,0,0,3,0.000000,0.000000,14848.441233
true,27832.155601,54,4,0,0,4,0.000000,0.000000,27832.155601
true,11930.155523,36,2,0,0,2,0.000000,0.000000,11930.155523
true,303892.426908,16,16,0,0,16,0.000000,0.000000,303892.426908
true,24264.291553,32,2,0,0,2,0.000000,0.000000,24264.291553
true,49021.904809,50,10,1,0,9,6.130625,0.000000,49015.774184
true,121024.865961,27,7,0,0,7,0.000000,0.000000,121024.865961
true,47922.519469,33,3,0,0,3,0.000000,0.000000,47922.519469
true,31978.413820,25,6,0,0,6,0.000000,0.000000,31978.413820
true,1496.951344,99,1,0,0,1,0.000000,0.000000,1496.951344
true,18520.141858,91,1,0,0,1,0.000000,0.000000,18520.141858
true,58696.446415,26,4,0,0,4,0.000000,0.000000,58696.446415
true,1295.588669,30,1,0,0,1,0.000000,0.000000,1295.588669
true,3402.777267,39,2,1,0,1,939.737016,0.000000,2463.040251
true,17374.964384,92,4,0,0,4,0.000000,0.000000,17374.964384
true,58616.045931,91,1,0,0,1,0.000000,0.000000,58616.045931
true,12075.854054,41,2,0,0,2,0.000000,0.000000,12075.854054
true,34250.079879,48,3,0,0,3,0.000000,0.000000,34250.079879
true,12012.818677,40,2,1,0,1,246.001539,0.000000,11766.817137
true,3888.957845,7,2,0,0,2,0.000000,0.000000,3888.957845
true,16084.189435,42,5,0,0,5,0.000000,0.000000,16084.189435
true,29423.241666,20,2,1,0,1,1452.454331,0.000000,27970.787334
true,525.164250,22,1,0,0,1,0.000000,0.000000,525.164250
true,21416.335228,80,4,0,0,4,0.000000,0.000000,21416.335228
true,203194.204982,23,11,0,0,11,0.000000,0.000000,203194.204982
true,6064.622047,29,3,1,0,2,96.352508,0.000000,5968.269539
true,23461.292020,82,3,1,0,2,47.126764,0.000000,23414.165256
true,1780.988427,99,1,0,0,1,0.000000,0.000000,1780.988427
true,1954.782927,41,1,0,0,1,0.000000,0.000000,1954.782927
true,87226.719248,41,8,0,0,8,0.000000,0.000000,87226.719248
true,18871.541426,66,4,0,0,4,0.000000,0.000000,18871.541426
true,64574.567878,8,4,0,0,4,0.000000,0.000000,64574.567878
true,261650.406756,35,8,1,0,8,1718.597172,0.000000,259931.809584
true,4794.103054,55,2,2,0,1,620.415663,0.000000,4173.687391
true,17902.189493,35,2,0,0,2,0.000000,0.000000,17902.189493
true,10324.040366,67,1,0,0,1,0.000000,0.000000,10324.040366
true,13226.176352,37,3,0,0,3,0.000000,0.000000,13226.176352
true,68834.170017,25,5,0,0,5,0.000000,0.000000,68834.170017
true,19191.477664,55,2,0,0,2,0.000000,0.000000,19191.477664
true,19054.877828,71,2,0,0,2,0.000000,0.000000,19054.877828
true,3075.040006,21,3,0,0,3,0.000000,0.000000,3075.040006
true,23731.604128,49,4,1,0,3,196.175115,0.000000,23535.429013
true,9345.056116,11,2,0,0,2,0.000000,0.000000,9345.056116
true,16032.007692,12,3,1,0,2,5.914978,0.000000,16026.092713
true,2139.380688,74,1,0,0,1,0.000000,0.000000,2139.380688
true,2706.829026,74,1,0,0,1,0.000000,0.000000,2706.829026
true,7054.549047,2,2,0,0,2,0.000000,0.000000,7054.549047
true,152076.273772,10,10,1,0,9,1101.642639,0.000000,150974.631132
true,53376.863919,42,5,1,0,4,1144.269507,0.000000,52232.594412
true,40901.544189,52,5,0,0,5,0.000000,0.000000,40901.544189
true,8985.194312,68,3,0,0,3,0.000000,0.000000,8985.194312
true,123825.547886,20,7,0,0,7,0.000000,0.000000,123825.547886
true,32081.290664,17,3,1,0,2,1729.691496,0.000000,30351.599169
true,29388.435107,12,5,1,0,4,228.638468,0.000000,29159.796639
true,18140.180267,14,3,1,0,2,2898.543512,0.000000,15241.636755
true,11248.776705,4,2,0,0,2,0.000000,0.000000,11248.776705
true,16377.144770,73,5,0,0,5,0.000000,0.000000,16377.144770
true,277072.454964,59,15,0,0,15,0.000000,0.000000,277072.454964
true,42370.381461,40,5,0,0,5,0.000000,0.000000,42370.381461
true,6972.730640,65,1,0,0,1,0.000000,0.000000,6972.730640
true,20005.443509,21,2,0,0,2,0.000000,0.000000,20005.443509
true,26543.178636,27,5,0,0,5,0.000000,0.000000,26543.178636
true,29589.899404,34,3,0,0,3,0.000000,0.000000,29589.899404
true,43268.362659,54,3,0,0,3,0.000000,0.000000,43268.362659
true,58781.909021,8,3,0,0,3,0.000000,0.000000,58781.909021
true,49183.760623,9,3,0,0,3,0.000000,0.000000,49183.760623
true,113021.959367,21,3,0,0,3,0.000000,0.000000,113021.959367
true,7864.881866,52,2,0,0,2,0.000000,0.000000,7864.881866
true,10285.703188,51,2,0,0,2,0.000000,0.000000,10285.703188
true,87328.820556,60,6,0,0,6,0.000000,0.000000,87328.820556
true,98584.941253,28,2,0,0,2,0.000000,0.000000,98584.941253
true,60188.331584,6,11,1,0,10,159.248901,0.000000,60029.082683
true,13562.411439,91,2,0,0,2,0.000000,0.000000,13562.411439
true,46438.414042,44,4,0,0,4,0.000000,0.000000,46438.414042
true,28946.140283,25,7,2,0,5,788.589940,0.000000,28157.550343
true,47985.715821,44,2,0,0,2,0.000000,0.000000,47985.715821
true,5573.444322,36,1,0,0,1,0.000000,0.000000,5573.444322
true,12197.170868,15,2,0,0,2,0.000000,0.000000,12197.170868
true,5653.087344,88,1,0,0,1,0.000000,0.000000,5653.087344
true,1372.573111,95,1,0,0,1,0.000000,0.000000,1372.573111
true,7573.708854,43,2,0,0,2,0.000000,0.000000,7573.708854
true,3362.403244,63,1,0,0,1,0.000000,0.000000,3362.403244
true,21955.276726,45,4,1,0,4,139.315813,0.000000,21815.960913
true,1075.181196,55,2,1,0,1,286.118586,0.000000,789.062610
true,90651.222553,64,5,0,0,5,0.000000,0.000000,90651.222553
