has_stockout,total_stockout_kg,first_stockout_day,number_of_stockout_days,fw_stockout_days,fuel_stockout_days,ammo_stockout_days,total_fw_stockout_kg,total_fuel_stockout_kg,total_ammo_stockout_kg
true,11098.414810,7,1,0,0,1,0.000000,0.000000,11098.414810
true,1894.419712,8,1,0,0,1,0.000000,0.000000,1894.419712
true,4986.261861,28,1,0,0,1,0.000000,0.000000,4986.261861
true,16672.799161,5,2,0,0,2,0.000000,0.000000,16672.799161
true,107797.645842,17,5,0,0,5,0.000000,0.000000,107797.645842
true,5286.990711,15,3,1,0,2,60.582111,0.000000,5226.408600
true,3153.397329,35,1,1,0,0,3153.397329,0.000000,0.000000
true,590.044153,13,2,1,0,1,542.496391,0.000000,47.547762
true,97092.776912,27,2,0,0,2,0.000000,0.000000,97092.776912
true,6237.837933,15,2,0,0,2,0.000000,0.000000,6237.837933
true,148.062847,20,1,1,0,0,148.062847,0.000000,0.000000
true,12456.539473,23,2,0,0,2,0.000000,0.000000,12456.539473
true,47124.761267,10,2,0,0,2,0.000000,0.000000,47124.761267
true,33120.633878,28,4,0,0,4,0.000000,0.000000,33120.633878
true,3328.698020,39,1,0,0,1,0.000000,0.000000,3328.698020
true,47698.700917,10,5,1,0,5,67.413208,0.000000,47631.287709
true,45926.172525,28,2,0,0,2,0.000000,0.000000,45926.172525
true,28409.127548,10,1,0,0,1,0.000000,0.000000,28409.127548
true,3059.399381,10,3,0,0,3,0.000000,0.000000,3059.399381
true,12062.632260,19,2,0,0,2,0.000000,0.000000,12062.632260
true,7011.387739,38,1,0,0,1,0.000000,0.000000,7011.387739
true,2375.945727,7,1,0,0,1,0.000000,0.000000,2375.945727
true,798.423870,27,1,0,0,1,0.000000,0.000000,798.423870
true,146.546218,28,1,1,0,0,146.546218,0.000000,0.000000
true,28567.309215,15,1,0,0,1,0.000000,0.000000,28567.309215
true,17808.303959,13,1,0,0,1,0.000000,0.000000,17808.303959
true,653.872098,15,2,2,0,0,653.872098,0.000000,0.000000
true,507.367483,9,1,0,0,1,0.000000,0.000000,507.367483
true,3187.578933,40,1,0,0,1,0.000000,0.000000,3187.578933
true,6092.623320,39,1,1,0,1,289.538468,0.000000,5803.084853
true,21407.177347,23,3,0,0,3,0.000000,0.000000,21407.177347
true,58470.785455,13,6,1,0,5,246.002877,0.000000,58224.782579
true,15527.188550,7,3,0,0,3,0.000000,0.000000,15527.188550
true,1744.665305,5,1,0,0,1,0.000000,0.000000,1744.665305
true,18219.020426,3,2,0,0,2,0.000000,0.000000,18219.020426
true,52043.199959,29,3,0,0,3,0.000000,0.000000,52043.199959
true,30605.848177,18,2,0,0,2,0.000000,0.000000,30605.848177
true,24747.234761,19,3,0,0,3,0.000000,0.000000,24747.234761
true,11067.680681,33,1,0,0,1,0.000000,0.000000,11067.680681
true,4794.265735,26,1,0,0,1,0.000000,0.000000,4794.265735
true,25915.854676,14,3,1,0,2,1072.343708,0.000000,24843.510968
true,24966.033258,29,2,0,0,2,0.000000,0.000000,24966.033258
true,43907.654488,24,4,0,0,4,0.000000,0.000000,43907.654488
true,225.363209,26,1,0,0,1,0.000000,0.000000,225.363209
true,4813.118923,32,1,0,0,1,0.000000,0.000000,4813.118923
true,3048.727343,23,1,0,0,1,0.000000,0.000000,3048.727343
true,13852.423656,18,1,0,0,1,0.000000,0.000000,13852.423656
true,81.224861,23,1,1,0,0,81.224861,0.000000,0.000000
true,302.349181,19,1,1,0,0,302.349181,0.000000,0.000000
true,18945.365047,11,3,1,0,3,297.450003,0.000000,18647.915043
true,71219.230627,11,5,0,0,5,0.000000,0.000000,71219.230627
true,8983.494178,18,5,1,0,5,135.551524,0.000000,8847.942654
true,15084.201498,24,3,0,0,3,0.000000,0.000000,15084.201498
true,24787.380283,28,4,0,0,4,0.000000,0.000000,24787.380283
true,225.372024,38,1,0,0,1,0.000000,0.000000,225.372024
true,8788.182187,30,2,0,0,2,0.000000,0.000000,8788.182187
true,8718.420119,40,1,0,0,1,0.000000,0.000000,8718.420119
true,10315.860656,11,2,0,0,2,0.000000,0.000000,10315.860656
true,736.023481,17,1,0,0,1,0.000000,0.000000,736.023481
true,46463.271264,21,4,0,0,4,0.000000,0.000000,46463.271264
true,10201.898238,36,2,0,0,2,0.000000,0.000000,10201.898238
true,12683.913609,32,2,0,0,2,0.000000,0.000000,12683.913609
true,168.414905,31,1,0,0,1,0.000000,0.000000,168.414905
true,1321.992091,11,1,0,0,1,0.000000,0.000000,1321.992091
true,7357.573600,39,1,0,0,1,0.000000,0.000000,7357.573600
true,7056.500361,5,3,1,0,2,3260.445576,0.000000,3796.054785
true,2657.311198,27,1,0,0,1,0.000000,0.000000,2657.311198
true,10905.119290,28,2,0,0,2,0.000000,0.000000,10905.119290
true,23266.487199,22,2,0,0,2,0.000000,0.000000,23266.487199
true,3113.871295,17,1,0,0,1,0.000000,0.000000,3113.871295
true,28579.732021,22,4,0,0,4,0.000000,0.000000,28579.732021
true,174442.505667,6,7,0,0,7,0.000000,0.000000,174442.505667
true,5105.838620,27,1,0,0,1,0.000000,0.000000,5105.838620
true,35922.184127,3,6,0,0,6,0.000000,0.000000,35922.184127
true,26705.832669,19,1,0,0,1,0.000000,0.000000,26705.832669
true,4286.646678,32,1,0,0,1,0.000000,0.000000,4286.646678
true,2469.477405,15,1,0,0,1,0.000000,0.000000,2469.477405
true,64528.132232,25,2,0,0,2,0.000000,0.000000,64528.132232
true,3508.353928,14,1,0,0,1,0.000000,0.000000,3508.353928
true,13241.237386,33,3,1,0,2,5682.557654,0.000000,7558.679732
true,18324.496203,32,3,1,0,3,75.511110,0.000000,18248.985094
true,12953.051113,16,2,0,0,2,0.000000,0.000000,12953.051113
true,11317.229657,22,1,0,0,1,0.000000,0.000000,11317.229657
true,4425.457298,17,1,0,0,1,0.000000,0.000000,4425.457298
true,1410.166463,19,1,0,0,1,0.000000,0.000000,1410.166463
true,22863.436816,25,2,0,0,2,0.000000,0.000000,22863.436816
true,11972.334516,20,3,0,0,3,0.000000,0.000000,11972.334516
true,52060.542427,23,3,0,0,3,0.000000,0.000000,52060.542427
true,3711.734164,10,1,0,0,1,0.000000,0.000000,3711.734164
true,28385.821401,13,2,1,0,2,380.395359,0.000000,28005.426042
true,51326.818211,9,6,0,0,6,0.000000,0.000000,51326.818211
true,9696.133247,34,2,0,0,2,0.000000,0.000000,9696.133247
true,433.354995,19,1,0,0,1,0.000000,0.000000,433.354995
true,4580.051444,21,1,0,0,1,0.000000,0.000000,4580.051444
true,7618.429603,13,4,0,0,4,0.000000,0.000000,7618.429603
true,2013.597810,20,2,1,0,1,517.450480,0.000000,1496.147330
true,7955.478013,38,1,0,0,1,0.000000,0.000000,7955.478013
true,83531.754871,7,10,0,0,10,0.000000,0.000000,83531.754871
true,4117.292539,35,1,0,0,1,0.000000,0.000000,4117.292539
true,6464.051938,22,1,0,0,1,0.000000,0.000000,6464.051938
true,23055.898281,37,3,1,0,3,150.323081,0.000000,22905.575200
true,15124.269701,10,1,0,0,1,0.000000,0.000000,15124.269701
true,27518.013585,5,2,0,0,2,0.000000,0.000000,27518.013585
true,59721.692699,38,3,0,0,3,0.000000,0.000000,59721.692699
true,2351.003722,37,1,0,0,1,0.000000,0.000000,2351.003722
true,4686.248988,25,1,0,0,1,0.000000,0.000000,4686.248988
true,745.101317,12,1,0,0,1,0.000000,0.000000,745.101317
true,19162.024652,25,1,0,0,1,0.000000,0.000000,19162.024652
true,6795.027469,10,1,0,0,1,0.000000,0.000000,6795.027469
true,681.016677,35,1,1,0,0,681.016677,0.000000,0.000000
true,10706.848234,14,2,1,0,1,145.995157,0.000000,10560.853077
true,5248.007359,8,1,0,0,1,0.000000,0.000000,5248.007359
true,15774.271543,17,2,0,0,2,0.000000,0.000000,15774.271543
true,24763.296052,23,4,0,0,4,0.000000,0.000000,24763.296052
true,7141.385601,35,2,1,0,1,24.208765,0.000000,7117.176836
true,17465.073651,7,4,3,0,3,2022.001205,0.000000,15443.072446
true,107151.102308,33,5,0,0,5,0.000000,0.000000,107151.102308
true,7538.704524,33,2,0,0,2,0.000000,0.000000,7538.704524
true,17315.176602,30,3,0,0,3,0.000000,0.000000,17315.176602
true,723.441273,40,1,0,0,1,0.000000,0.000000,723.441273
true,3673.629800,34,1,0,0,1,0.000000,0.000000,3673.629800
true,5008.583500,21,1,0,0,1,0.000000,0.000000,5008.583500
true,72946.824256,28,2,0,0,2,0.000000,0.000000,72946.824256
true,9579.166133,15,2,1,0,2,232.892093,0.000000,9346.274040
true,12277.987675,12,3,1,0,2,240.346847,0.000000,12037.640828
true,66968.843962,32,3,0,0,3,0.000000,0.000000,66968.843962
true,23514.136596,33,3,0,0,3,0.000000,0.000000,23514.136596
true,145.433689,23,2,1,0,1,141.668540,0.000000,3.765149
true,35020.030424,21,1,0,0,1,0.000000,0.000000,35020.030424
true,23286.798702,7,3,2,0,2,316.720145,0.000000,22970.078557
true,1516.763242,39,1,0,0,1,0.000000,0.000000,1516.763242
