has_stockout,total_stockout_kg,first_stockout_day,number_of_stockout_days,fw_stockout_days,fuel_stockout_days,ammo_stockout_days,total_fw_stockout_kg,total_fuel_stockout_kg,total_ammo_stockout_kg
true,22704.177481,15,3,1,0,2,102.042700,0.000000,22602.134781
true,7768.260493,17,2,0,0,2,0.000000,0.000000,7768.260493
true,7277.350800,67,1,0,0,1,0.000000,0.000000,7277.350800
true,2825.928369,77,1,0,0,1,0.000000,0.000000,2825.928369
true,16356.501550,45,2,0,0,2,0.000000,0.000000,16356.501550
true,24471.024926,60,3,0,0,3,0.000000,0.000000,24471.024926
true,737.915493,20,1,0,0,1,0.000000,0.000000,737.915493
true,56820.400671,74,4,0,0,4,0.000000,0.000000,56820.400671
true,35501.818583,48,2,0,0,2,0.000000,0.000000,35501.818583
true,60.431650,49,1,1,0,0,60.431650,0.000000,0.000000
true,353.938899,73,1,1,0,0,353.938899,0.000000,0.000000
true,12104.639270,38,1,0,0,1,0.000000,0.000000,12104.639270
true,16947.162424,8,4,0,0,4,0.000000,0.000000,16947.162424
true,26871.592068,37,3,0,0,3,0.000000,0.000000,26871.592068
true,30755.417424,13,3,1,0,3,415.280711,0.000000,30340.136714
true,7486.114230,69,2,0,0,2,0.000000,0.000000,7486.114230
true,13300.783127,13,3,0,0,3,0.000000,0.000000,13300.783127
true,8972.081791,31,1,0,0,1,0.000000,0.000000,8972.081791
true,7360.219888,20,2,0,0,2,0.000000,0.000000,7360.219888
true,6550.459636,10,1,0,0,1,0.000000,0.000000,6550.459636
true,36032.470323,19,7,0,0,7,0.000000,0.000000,36032.470323
true,35218.057582,28,5,0,0,5,0.000000,0.000000,35218.057582
true,6394.273871,28,3,1,0,2,147.118932,0.000000,6247.154940
true,56337.398309,9,1,0,0,1,0.000000,0.000000,56337.398309
true,57922.137917,66,7,1,0,6,264.632082,0.000000,57657.505835
true,27913.754145,3,2,0,0,2,0.000000,0.000000,27913.754145
true,3369.195395,37,1,0,0,1,0.000000,0.000000,3369.195395
true,10245.341542,41,5,0,0,5,0.000000,0.000000,10245.341542
true,21083.388773,51,3,0,0,3,0.000000,0.000000,21083.388773
true,2073.491755,63,1,0,0,1,0.000000,0.000000,2073.491755
true,15684.585375,10,2,0,0,2,0.000000,0.000000,15684.585375
true,20901.468599,47,1,0,0,1,0.000000,0.000000,20901.468599
true,6451.062673,43,1,0,0,1,0.000000,0.000000,6451.062673
true,15698.028001,16,1,0,0,1,0.000000,0.000000,15698.028001
true,40178.771303,32,4,0,0,4,0.000000,0.000000,40178.771303
true,26045.067066,18,4,1,0,3,555.873231,0.000000,25489.193834
true,50403.216601,21,6,2,0,4,999.533867,0.000000,49403.682733
true,16384.986761,47,2,0,0,2,0.000000,0.000000,16384.986761
true,10024.024970,42,2,0,0,2,0.000000,0.000000,10024.024970
true,24907.045609,61,1,0,0,1,0.000000,0.000000,24907.045609
true,3226.993633,54,1,0,0,1,0.000000,0.000000,3226.993633
true,16818.714717,61,2,0,0,2,0.000000,0.000000,16818.714717
true,51699.424516,5,5,0,0,5,0.000000,0.000000,51699.424516
true,2927.993320,55,1,0,0,1,0.000000,0.000000,2927.993320
true,1308.648519,78,1,1,0,0,1308.648519,0.000000,0.000000
true,6161.600450,47,2,0,0,2,0.000000,0.000000,6161.600450
true,15879.175836,7,3,0,1,2,0.000000,6343.100000,9536.075836
true,94757.823019,13,9,2,0,8,402.366353,0.000000,94355.456666
true,9454.321256,67,3,0,0,3,0.000000,0.000000,9454.321256
true,50007.528797,46,6,0,0,6,0.000000,0.000000,50007.528797
true,35945.051087,25,8,0,0,8,0.000000,0.000000,35945.051087
true,21723.956274,27,4,2,0,3,770.920399,0.000000,20953.035875
true,29626.420837,38,8,1,0,7,56.887152,0.000000,29569.533685
true,5905.447134,75,2,0,0,2,0.000000,0.000000,5905.447134
true,6967.399737,20,1,0,0,1,0.000000,0.000000,6967.399737
true,4531.909544,6,1,0,0,1,0.000000,0.000000,4531.909544
true,35519.292067,28,3,0,0,3,0.000000,0.000000,35519.292067
true,16023.510039,44,2,0,0,2,0.000000,0.000000,16023.510039
true,7662.785732,36,1,0,0,1,0.000000,0.000000,7662.785732
true,13240.377678,73,1,0,0,1,0.000000,0.000000,13240.377678
true,540.556053,71,1,0,0,1,0.000000,0.000000,540.556053
true,35999.704923,14,3,0,0,3,0.000000,0.000000,35999.704923
true,26241.006545,43,5,0,0,5,0.000000,0.000000,26241.006545
true,8705.714701,50,1,0,0,1,0.000000,0.000000,8705.714701
true,20711.518042,11,4,0,0,4,0.000000,0.000000,20711.518042
true,125.954420,24,1,1,0,0,125.954420,0.000000,0.000000
true,10066.766976,64,1,0,0,1,0.000000,0.000000,10066.766976
true,17090.640783,63,1,0,0,1,0.000000,0.000000,17090.640783
true,4409.720126,20,2,0,0,2,0.000000,0.000000,4409.720126
true,2555.728456,67,1,0,0,1,0.000000,0.000000,2555.728456
true,42464.598192,22,2,0,0,2,0.000000,0.000000,42464.598192
true,138754.796762,9,6,0,0,6,0.000000,0.000000,138754.796762
true,7674.072693,24,1,0,0,1,0.000000,0.000000,7674.072693
true,1671.260105,19,2,0,0,2,0.000000,0.000000,1671.260105
true,3403.260991,52,1,0,0,1,0.000000,0.000000,3403.260991
true,86308.570126,27,3,0,0,3,0.000000,0.000000,86308.570126
true,13226.901854,52,2,0,0,2,0.000000,0.000000,13226.901854
true,25440.782954,34,5,0,0,5,0.000000,0.000000,25440.782954
true,50775.276385,79,1,0,0,1,0.000000,0.000000,50775.276385
true,149.591183,28,1,1,0,0,149.591183,0.000000,0.000000
true,39934.273966,11,7,1,0,6,1.664548,0.000000,39932.609418
true,116.521538,54,1,0,0,1,0.000000,0.000000,116.521538
true,46391.738918,56,3,0,0,3,0.000000,0.000000,46391.738918
true,283.529224,67,1,0,0,1,0.000000,0.000000,283.529224
true,22566.253360,6,5,0,0,5,0.000000,0.000000,22566.253360
true,70774.026383,15,5,0,0,5,0.000000,0.000000,70774.026383
true,1951.277314,3,2,1,0,2,79.204495,0.000000,1872.072819
true,18065.385295,18,2,0,0,2,0.000000,0.000000,18065.385295
true,87349.851442,48,5,0,0,5,0.000000,0.000000,87349.851442
true,42848.528641,9,3,0,0,3,0.000000,0.000000,42848.528641
true,7100.061708,23,1,0,0,1,0.000000,0.000000,7100.061708
true,282.773194,33,1,1,0,0,282.773194,0.000000,0.000000
true,37956.478877,53,3,0,0,3,0.000000,0.000000,37956.478877
true,18542.886253,23,3,0,0,3,0.000000,0.000000,18542.886253
true,2046.090425,47,2,0,0,2,0.000000,0.000000,2046.090425
true,65604.581607,15,6,0,0,6,0.000000,0.000000,65604.581607
true,77743.157336,24,6,0,0,6,0.000000,0.000000,77743.157336
true,8500.487924,55,1,0,0,1,0.000000,0.000000,8500.487924
true,34655.945890,24,5,2,0,3,719.508815,0.000000,33936.437075
true,145222.896913,24,9,1,0,8,3662.839991,0.000000,141560.056922
true,4761.609458,23,2,0,0,2,0.000000,0.000000,4761.609458
true,28440.073505,35,1,0,0,1,0.000000,0.000000,28440.073505
true,36653.104251,26,4,0,0,4,0.000000,0.000000,36653.104251
true,40599.847931,28,2,0,0,2,0.000000,0.000000,40599.847931
true,3943.193605,41,1,0,0,1,0.000000,0.000000,3943.193605
true,30596.897926,24,1,0,0,1,0.000000,0.000000,30596.897926
true,477.090612,13,1,1,0,0,477.090612,0.000000,0.000000
true,9485.845417,19,1,0,0,1,0.000000,0.000000,9485.845417
true,3458.206686,46,2,0,0,2,0.000000,0.000000,3458.206686
true,101368.689042,24,3,0,0,3,0.000000,0.000000,101368.689042
true,12988.217814,18,3,1,0,2,627.839544,0.000000,12360.378270
true,19403.122322,12,2,0,0,2,0.000000,0.000000,19403.122322
true,106941.992237,28,6,0,0,6,0.000000,0.000000,106941.992237
true,38999.315370,45,3,0,0,3,0.000000,0.000000,38999.315370
true,13360.270190,48,3,0,0,3,0.000000,0.000000,13360.270190
true,1323.901163,19,2,1,0,1,210.971109,0.000000,1112.930054
true,8411.212470,21,2,0,0,2,0.000000,0.000000,8411.212470
true,6692.074411,50,2,0,0,2,0.000000,0.000000,6692.074411
true,25430.273169,69,3,0,0,3,0.000000,0.000000,25430.273169
true,11890.989386,25,2,1,0,1,182.298284,0.000000,11708.691103
true,873.317365,22,1,0,0,1,0.000000,0.000000,873.317365
true,17138.229150,35,4,1,0,3,1668.428552,0.000000,15469.800598
true,757.208059,16,1,0,0,1,0.000000,0.000000,757.208059
true,41904.473613,46,5,0,0,5,0.000000,0.000000,41904.473613
true,27869.455646,6,6,1,0,5,0.324647,0.000000,27869.130999
true,1212.894604,45,1,0,0,1,0.000000,0.000000,1212.894604
true,94565.056905,14,10,1,0,10,29.102127,0.000000,94535.954778
true,3529.857694,30,1,0,0,1,0.000000,0.000000,3529.857694
true,7394.184940,15,2,0,0,2,0.000000,0.000000,7394.184940
true,7868.963442,39,1,0,0,1,0.000000,0.000000,7868.963442
true,18540.765813,34,2,0,0,2,0.000000,0.000000,18540.765813
true,9493.525787,15,2,0,0,2,0.000000,0.000000,9493.525787
true,1668.600411,41,1,0,0,1,0.000000,0.000000,1668.600411
true,45576.512021,12,5,1,0,4,534.488390,0.000000,45042.023631
true,48664.789522,12,5,0,0,5,0.000000,0.000000,48664.789522
true,4758.775666,25,1,0,0,1,0.000000,0.000000,4758.775666
true,6878.809260,23,1,0,0,1,0.000000,0.000000,6878.809260
true,47873.133818,40,6,0,0,6,0.000000,0.000000,47873.133818
true,4346.632597,40,2,0,0,2,0.000000,0.000000,4346.632597
true,596.540489,7,1,0,0,1,0.000000,0.000000,596.540489
true,32684.829524,63,1,0,0,1,0.000000,0.000000,32684.829524
true,55756.119570,22,2,0,0,2,0.000000,0.000000,55756.119570
true,21340.693358,42,2,0,0,2,0.000000,0.000000,21340.693358
true,14249.626311,8,3,0,0,3,0.000000,0.000000,14249.626311
true,36678.758509,8,8,2,0,6,431.939707,0.000000,36246.818802
true,572.327543,47,2,0,0,2,0.000000,0.000000,572.327543
true,138224.767579,32,6,0,0,6,0.000000,0.000000,138224.767579
true,7151.210312,35,3,0,0,3,0.000000,0.000000,7151.210312
true,2098.836916,64,1,0,0,1,0.000000,0.000000,2098.836916
true,22863.665420,45,2,0,0,2,0.000000,0.000000,22863.665420
true,12479.926233,20,3,0,0,3,0.000000,0.000000,12479.926233
true,4729.395781,68,2,0,0,2,0.000000,0.000000,4729.395781
