has_stockout,total_stockout_kg,first_stockout_day,number_of_stockout_days,fw_stockout_days,fuel_stockout_days,ammo_stockout_days,total_fw_stockout_kg,total_fuel_stockout_kg,total_ammo_stockout_kg
true,65006.521746,12,4,0,0,4,0.000000,0.000000,65006.521746
true,3220.687947,24,1,0,0,1,0.000000,0.000000,3220.687947
true,1891.249287,53,1,0,0,1,0.000000,0.000000,1891.249287
true,3074.879474,20,3,0,0,3,0.000000,0.000000,3074.879474
true,2330.491370,40,2,1,0,1,345.230902,0.000000,1985.260468
true,17765.883513,19,4,1,0,3,2167.341118,0.000000,15598.542395
true,4821.208785,30,1,0,0,1,0.000000,0.000000,4821.208785
true,2707.906626,18,4,2,0,2,739.647915,0.000000,1968.258711
true,15023.130054,42,1,0,0,1,0.000000,0.000000,15023.130054
true,13889.639806,3,2,0,0,2,0.000000,0.000000,13889.639806
true,23436.922432,11,3,0,0,3,0.000000,0.000000,23436.922432
true,4758.122281,56,1,0,0,1,0.000000,0.000000,4758.122281
true,12.431489,31,1,1,0,0,12.431489,0.000000,0.000000
true,375.646024,47,1,0,0,1,0.000000,0.000000,375.646024
true,71195.494085,17,2,0,0,2,0.000000,0.000000,71195.494085
true,41085.822456,15,4,0,0,4,0.000000,0.000000,41085.822456
true,51705.817962,12,4,0,0,4,0.000000,0.000000,51705.817962
true,8572.590105,35,2,0,0,2,0.000000,0.000000,8572.590105
true,6223.643851,39,2,1,0,1,124.436840,0.000000,6099.207011
true,18982.040976,50,2,0,0,2,0.000000,0.000000,18982.040976
true,10157.165983,45,1,0,0,1,0.000000,0.000000,10157.165983
true,36641.275810,20,4,0,0,4,0.000000,0.000000,36641.275810
true,7169.717950,44,1,0,0,1,0.000000,0.000000,7169.717950
true,17750.071660,16,3,0,0,3,0.000000,0.000000,17750.071660
true,4052.390431,38,1,0,0,1,0.000000,0.000000,4052.390431
true,64592.217188,25,3,0,0,3,0.000000,0.000000,64592.217188
true,19602.483880,41,2,0,0,2,0.000000,0.000000,19602.483880
true,7451.266463,12,1,0,0,1,0.000000,0.000000,7451.266463
true,32631.366459,11,3,1,0,2,840.397715,0.000000,31790.968744
true,20841.302857,44,1,0,0,1,0.000000,0.000000,20841.302857
true,16551.539086,22,2,1,0,1,982.267658,0.000000,15569.271428
true,20259.467471,14,2,1,0,1,5466.903489,0.000000,14792.563982
true,18053.572119,30,1,0,0,1,0.000000,0.000000,18053.572119
true,1551.778374,27,1,0,0,1,0.000000,0.000000,1551.778374
true,32147.928757,11,3,0,0,3,0.000000,0.000000,32147.928757
true,2905.186244,27,2,0,0,2,0.000000,0.000000,2905.186244
true,1549.143745,15,1,0,0,1,0.000000,0.000000,1549.143745
true,29507.722125,27,3,1,0,3,1621.117305,0.000000,27886.604820
true,6162.950785,22,2,1,0,1,1005.822813,0.000000,5157.127972
true,19420.918271,31,3,0,0,3,0.000000,0.000000,19420.918271
true,51649.635986,20,3,0,0,3,0.000000,0.000000,51649.635986
true,21490.055028,33,3,0,0,3,0.000000,0.000000,21490.055028
true,36538.573981,39,3,1,0,2,135.126779,0.000000,36403.447202
true,49709.906313,12,3,0,0,3,0.000000,0.000000,49709.906313
true,57121.560060,28,8,1,0,7,2076.051100,0.000000,55045.508960
true,180865.069523,51,5,0,0,5,0.000000,0.000000,180865.069523
true,620.594413,52,1,0,0,1,0.000000,0.000000,620.594413
true,7334.787899,23,2,0,0,2,0.000000,0.000000,7334.787899
true,21445.757154,4,2,0,0,2,0.000000,0.000000,21445.757154
true,2931.950696,9,2,0,0,2,0.000000,0.000000,2931.950696
true,25407.490553,35,4,1,0,3,1542.481746,0.000000,23865.008807
true,70723.098296,51,4,0,0,4,0.000000,0.000000,70723.098296
true,54023.613509,30,3,0,0,3,0.000000,0.000000,54023.613509
true,9413.496504,44,3,0,0,3,0.000000,0.000000,9413.496504
true,3621.834646,32,1,0,0,1,0.000000,0.000000,3621.834646
true,38513.011622,17,2,1,0,1,360.350982,0.000000,38152.660640
true,26354.197446,41,3,0,0,3,0.000000,0.000000,26354.197446
true,23689.423752,34,2,0,0,2,0.000000,0.000000,23689.423752
true,81.356069,49,1,0,0,1,0.000000,0.000000,81.356069
true,20596.152732,38,5,1,0,4,212.130863,0.000000,20384.021868
true,13866.789392,7,2,0,0,2,0.000000,0.000000,13866.789392
true,10324.181604,46,1,0,0,1,0.000000,0.000000,10324.181604
true,9388.435516,48,3,0,0,3,0.000000,0.000000,9388.435516
true,3957.000000,50,1,0,1,0,0.000000,3957.000000,0.000000
true,6744.735978,16,1,0,0,1,0.000000,0.000000,6744.735978
true,437.250644,45,1,0,0,1,0.000000,0.000000,437.250644
true,29393.689384,27,4,0,0,4,0.000000,0.000000,29393.689384
true,12944.118653,49,3,1,0,2,169.218258,0.000000,12774.900396
true,43233.909409,21,1,0,0,1,0.000000,0.000000,43233.909409
true,2753.761109,36,2,0,0,2,0.000000,0.000000,2753.761109
true,7552.928764,38,1,0,0,1,0.000000,0.000000,7552.928764
true,4669.613909,52,2,0,0,2,0.000000,0.000000,4669.613909
true,50836.698475,17,10,0,0,10,0.000000,0.000000,50836.698475
true,493.180503,28,1,0,0,1,0.000000,0.000000,493.180503
true,10461.600394,33,2,0,0,2,0.000000,0.000000,10461.600394
true,151621.584192,32,7,0,0,7,0.000000,0.000000,151621.584192
true,51670.793364,53,2,0,0,2,0.000000,0.000000,51670.793364
true,25043.289615,28,2,0,0,2,0.000000,0.000000,25043.289615
true,1569.853533,58,1,0,0,1,0.000000,0.000000,1569.853533
true,49154.644358,13,4,0,0,4,0.000000,0.000000,49154.644358
true,16575.757713,17,5,0,0,5,0.000000,0.000000,16575.757713
true,3533.076216,32,2,0,0,2,0.000000,0.000000,3533.076216
true,786.477951,21,1,1,0,0,786.477951,0.000000,0.000000
true,24773.431014,13,3,0,0,3,0.000000,0.000000,24773.431014
true,10799.156196,51,2,0,0,2,0.000000,0.000000,10799.156196
true,19589.257231,4,5,0,0,5,0.000000,0.000000,19589.257231
true,8963.536631,8,1,0,0,1,0.000000,0.000000,8963.536631
true,26233.506472,17,5,0,0,5,0.000000,0.000000,26233.506472
true,11508.498629,14,3,1,0,3,108.583975,0.000000,11399.914654
true,202993.332531,42,9,0,0,9,0.000000,0.000000,202993.332531
true,3562.080361,9,1,0,0,1,0.000000,0.000000,3562.080361
true,74077.980049,8,4,0,0,4,0.000000,0.000000,74077.980049
true,7711.988757,9,2,1,0,1,63.453927,0.000000,7648.534830
true,14179.354476,11,1,0,0,1,0.000000,0.000000,14179.354476
true,13786.287258,39,1,0,0,1,0.000000,0.000000,13786.287258
true,9516.042552,10,4,1,0,3,14.125412,0.000000,9501.917140
true,62404.451562,26,5,0,0,5,0.000000,0.000000,62404.451562
true,1152.173478,6,2,1,0,1,291.069951,0.000000,861.103527
true,69330.883506,44,2,0,0,2,0.000000,0.000000,69330.883506
true,22240.862155,43,3,0,0,3,0.000000,0.000000,22240.862155
true,21367.625810,48,5,0,0,5,0.000000,0.000000,21367.625810
true,14399.892822,29,2,0,0,2,0.000000,0.000000,14399.892822
true,11156.074648,29,4,0,0,4,0.000000,0.000000,11156.074648
true,2489.671833,55,2,1,0,1,16.669704,0.000000,2473.002129
true,43636.312212,6,7,0,0,7,0.000000,0.000000,43636.312212
true,31785.649647,26,3,1,0,3,204.237118,0.000000,31581.412530
true,27659.523027,9,6,0,0,6,0.000000,0.000000,27659.523027
true,11265.103560,7,3,0,0,3,0.000000,0.000000,11265.103560
true,76457.684325,9,6,0,0,6,0.000000,0.000000,76457.684325
true,405.307232,18,1,0,0,1,0.000000,0.000000,405.307232
true,52146.583419,8,5,0,0,5,0.000000,0.000000,52146.583419
true,42051.987897,26,4,0,0,4,0.000000,0.000000,42051.987897
true,13222.354734,49,2,1,0,1,367.359349,0.000000,12854.995385
true,11545.472890,17,2,1,0,1,266.685980,0.000000,11278.786911
true,20716.860873,42,3,0,0,3,0.000000,0.000000,20716.860873
true,8760.159987,58,2,0,0,2,0.000000,0.000000,8760.159987
true,12571.654207,49,3,0,0,3,0.000000,0.000000,12571.654207
true,20398.611803,37,3,0,0,3,0.000000,0.000000,20398.611803
true,17878.147418,47,3,0,0,3,0.000000,0.000000,17878.147418
true,2172.667288,32,1,0,0,1,0.000000,0.000000,2172.667288
true,21403.839899,21,2,0,0,2,0.000000,0.000000,21403.839899
true,11954.662221,21,2,0,0,2,0.000000,0.000000,11954.662221
true,18012.950122,54,3,0,0,3,0.000000,0.000000,18012.950122
true,151588.930024,8,9,0,0,9,0.000000,0.000000,151588.930024
true,15515.041939,60,1,0,0,1,0.000000,0.000000,15515.041939
true,5970.199953,7,1,0,0,1,0.000000,0.000000,5970.199953
true,59.051120,33,1,1,0,0,59.051120,0.000000,0.000000
true,18326.400208,20,3,0,0,3,0.000000,0.000000,18326.400208
true,7051.900000,8,2,0,2,0,0.000000,7051.900000,0.000000
true,16735.461732,37,1,0,0,1,0.000000,0.000000,16735.461732
true,37812.238782,18,3,0,0,3,0.000000,0.000000,37812.238782
true,11688.558066,22,1,0,0,1,0.000000,0.000000,11688.558066
true,74440.407860,35,3,0,0,3,0.000000,0.000000,74440.407860
true,1225.408317,40,1,0,0,1,0.000000,0.000000,1225.408317
true,16746.712662,53,2,0,0,2,0.000000,0.000000,16746.712662
true,5383.727817,29,2,0,0,2,0.000000,0.000000,5383.727817
true,3025.316610,25,2,0,0,2,0.000000,0.000000,3025.316610
true,58352.209511,13,3,0,0,3,0.000000,0.000000,58352.209511
true,1521.222340,9,1,0,0,1,0.000000,0.000000,1521.222340
true,21382.893407,17,6,2,0,4,750.634369,0.000000,20632.259038
true,2787.915350,47,1,0,0,1,0.000000,0.000000,2787.915350
true,28135.075348,41,2,0,0,2,0.000000,0.000000,28135.075348
true,10751.105888,49,1,0,0,1,0.000000,0.000000,10751.105888
true,9905.734147,10,4,1,0,3,254.224353,0.000000,9651.509793
true,4347.393094,53,1,0,0,1,0.000000,0.000000,4347.393094
true,110036.651047,11,15,1,0,14,69.924982,0.000000,109966.726064
true,24613.795102,20,5,0,0,5,0.000000,0.000000,24613.795102
true,67617.963366,36,4,1,0,3,152.298098,0.000000,67465.665269
true,9542.769074,26,3,0,0,3,0.000000,0.000000,9542.769074
true,15181.001790,22,4,0,0,4,0.000000,0.000000,15181.001790
true,1244.381583,21,1,0,0,1,0.000000,0.000000,1244.381583
true,329.873561,36,1,1,0,0,329.873561,0.000000,0.000000
true,265.522397,40,1,0,0,1,0.000000,0.000000,265.522397
true,25491.437558,10,5,0,0,5,0.000000,0.000000,25491.437558
true,13047.243363,31,3,1,0,3,35.334453,0.000000,13011.908910
true,25466.721246,8,4,0,0,4,0.000000,0.000000,25466.721246
true,5058.329222,19,2,0,0,2,0.000000,0.000000,5058.329222
true,3338.088750,37,1,0,0,1,0.000000,0.000000,3338.088750
true,4147.228121,11,1,0,0,1,0.000000,0.000000,4147.228121
true,23939.404426,24,5,0,0,5,0.000000,0.000000,23939.404426
true,124062.192208,33,6,0,0,6,0.000000,0.000000,124062.192208
true,7060.107715,12,1,0,0,1,0.000000,0.000000,7060.107715
true,33516.214008,41,4,0,0,4,0.000000,0.000000,33516.214008
true,391.976021,8,1,0,0,1,0.000000,0.000000,391.976021
true,9268.598368,12,2,1,0,1,141.197954,0.000000,9127.400414
true,11864.675270,5,1,0,0,1,0.000000,0.000000,11864.675270
true,2206.147209,14,1,0,0,1,0.000000,0.000000,2206.147209
true,4651.822195,53,1,0,0,1,0.000000,0.000000,4651.822195
true,33460.169057,19,3,0,0,3,0.000000,0.000000,33460.169057
true,24709.834167,15,3,0,0,3,0.000000,0.000000,24709.834167
true,265.361435,23,1,1,0,0,265.361435,0.000000,0.000000
true,30188.096120,40,1,0,0,1,0.000000,0.000000,30188.096120
true,52253.168541,31,1,0,0,1,0.000000,0.000000,52253.168541
true,34280.800844,8,5,0,0,5,0.000000,0.000000,34280.800844
