has_stockout,total_stockout_kg,first_stockout_day,number_of_stockout_days,fw_stockout_days,fuel_stockout_days,ammo_stockout_days,total_fw_stockout_kg,total_fuel_stockout_kg,total_ammo_stockout_kg
true,7280.910637,5,1,0,0,1,0.000000,0.000000,7280.910637
true,3909.953262,15,1,0,0,1,0.000000,0.000000,3909.953262
true,214.764635,10,1,1,0,0,214.764635,0.000000,0.000000
true,6484.908008,12,2,0,0,2,0.000000,0.000000,6484.908008
true,9848.006083,9,2,0,0,2,0.000000,0.000000,9848.006083
true,3272.968915,16,1,1,0,0,3272.968915,0.000000,0.000000
true,99253.102416,7,2,0,0,2,0.000000,0.000000,99253.102416
true,412.952474,9,1,0,0,1,0.000000,0.000000,412.952474
true,9508.317095,15,1,0,0,1,0.000000,0.000000,9508.317095
true,20260.798887,6,2,0,0,2,0.000000,0.000000,20260.798887
true,41345.920988,13,3,1,0,2,2163.421552,0.000000,39182.499436
true,6553.366445,10,1,0,0,1,0.000000,0.000000,6553.366445
true,16863.924766,17,2,0,0,2,0.000000,0.000000,16863.924766
true,97686.941404,10,5,0,0,5,0.000000,0.000000,97686.941404
true,8469.838420,11,1,0,0,1,0.000000,0.000000,8469.838420
true,18764.137332,8,3,0,0,3,0.000000,0.000000,18764.137332
true,4742.828276,8,1,0,0,1,0.000000,0.000000,4742.828276
true,22448.502244,6,4,0,0,4,0.000000,0.000000,22448.502244
true,13404.034867,19,1,0,0,1,0.000000,0.000000,13404.034867
true,12691.955742,9,2,0,0,2,0.000000,0.000000,12691.955742
true,14680.818989,6,2,0,0,2,0.000000,0.000000,14680.818989
true,9212.030687,14,1,0,0,1,0.000000,0.000000,9212.030687
true,2634.186523,11,1,0,0,1,0.000000,0.000000,2634.186523
true,9689.942074,9,1,0,0,1,0.000000,0.000000,9689.942074
true,39002.792052,10,2,0,0,2,0.000000,0.000000,39002.792052
true,2689.198783,4,1,0,0,1,0.000000,0.000000,2689.198783
true,680.234895,7,1,0,0,1,0.000000,0.000000,680.234895
true,9735.622169,15,1,0,0,1,0.000000,0.000000,9735.622169
true,76269.594524,5,4,0,0,4,0.000000,0.000000,76269.594524
true,389.682238,18,1,0,0,1,0.000000,0.000000,389.682238
true,32420.230799,12,4,0,0,4,0.000000,0.000000,32420.230799
true,12324.506706,8,2,0,0,2,0.000000,0.000000,12324.506706
true,1492.330566,10,1,1,0,0,1492.330566,0.000000,0.000000
true,1846.973347,16,1,0,0,1,0.000000,0.000000,1846.973347
true,21086.521767,17,3,0,0,3,0.000000,0.000000,21086.521767
true,78093.522705,7,2,0,0,2,0.000000,0.000000,78093.522705
true,1867.433674,12,1,1,0,0,1867.433674,0.000000,0.000000
true,4573.898671,11,2,0,0,2,0.000000,0.000000,4573.898671
true,14554.450172,8,1,0,0,1,0.000000,0.000000,14554.450172
true,7704.576964,13,1,0,0,1,0.000000,0.000000,7704.576964
true,27718.154375,13,4,0,0,4,0.000000,0.000000,27718.154375
true,8692.945336,11,2,0,0,2,0.000000,0.000000,8692.945336
true,121652.038881,10,5,0,0,5,0.000000,0.000000,121652.038881
true,7759.149176,10,2,0,0,2,0.000000,0.000000,7759.149176
true,1421.781474,10,3,0,0,3,0.000000,0.000000,1421.781474
true,29041.791517,17,3,0,0,3,0.000000,0.000000,29041.791517
true,9401.828841,6,2,0,0,2,0.000000,0.000000,9401.828841
true,4697.612353,13,1,0,0,1,0.000000,0.000000,4697.612353
true,14387.442771,9,4,2,0,2,1266.348720,0.000000,13121.094052
true,9865.056182,3,1,0,0,1,0.000000,0.000000,9865.056182
true,3558.916514,13,2,0,0,2,0.000000,0.000000,3558.916514
true,34277.157718,18,2,0,0,2,0.000000,0.000000,34277.157718
true,5009.787516,12,1,0,0,1,0.000000,0.000000,5009.787516
true,7596.357419,13,1,0,0,1,0.000000,0.000000,7596.357419
true,48923.912052,6,2,0,0,2,0.000000,0.000000,48923.912052
true,34486.571983,18,1,0,0,1,0.000000,0.000000,34486.571983
true,13698.171673,8,3,1,0,3,118.803893,0.000000,13579.367780
true,17263.141956,16,1,0,0,1,0.000000,0.000000,17263.141956
true,25620.015214,11,2,0,0,2,0.000000,0.000000,25620.015214
true,1486.202248,14,1,0,0,1,0.000000,0.000000,1486.202248
true,5712.570024,15,2,0,0,2,0.000000,0.000000,5712.570024
true,39172.660125,11,3,0,0,3,0.000000,0.000000,39172.660125
true,2154.879954,10,1,0,0,1,0.000000,0.000000,2154.879954
true,62858.090949,13,3,0,0,3,0.000000,0.000000,62858.090949
true,16825.096395,9,2,0,0,2,0.000000,0.000000,16825.096395
true,39113.601553,18,2,0,0,2,0.000000,0.000000,39113.601553
true,14585.556264,20,1,0,0,1,0.000000,0.000000,14585.556264
true,8052.441269,15,1,0,0,1,0.000000,0.000000,8052.441269
true,14592.369572,13,1,0,0,1,0.000000,0.000000,14592.369572
true,1747.298644,18,1,0,0,1,0.000000,0.000000,1747.298644
true,7517.324416,12,1,0,0,1,0.000000,0.000000,7517.324416
true,6022.512825,19,1,0,0,1,0.000000,0.000000,6022.512825
true,14798.197737,14,3,0,0,3,0.000000,0.000000,14798.197737
true,4457.070759,19,1,0,0,1,0.000000,0.000000,4457.070759
true,21240.531034,7,2,0,0,2,0.000000,0.000000,21240.531034
true,4476.458077,12,1,0,0,1,0.000000,0.000000,4476.458077
true,6575.919787,19,1,0,0,1,0.000000,0.000000,6575.919787
true,53.820186,10,1,1,0,0,53.820186,0.000000,0.000000
true,13680.993773,8,2,0,0,2,0.000000,0.000000,13680.993773
true,5623.951567,7,1,0,0,1,0.000000,0.000000,5623.951567
true,2639.261523,8,2,1,0,1,44.926790,0.000000,2594.334733
true,358.095095,15,1,1,0,0,358.095095,0.000000,0.000000
true,9601.221416,11,2,0,0,2,0.000000,0.000000,9601.221416
true,4282.979935,11,1,0,0,1,0.000000,0.000000,4282.979935
true,2730.163750,18,1,0,0,1,0.000000,0.000000,2730.163750
true,2974.224155,19,1,0,0,1,0.000000,0.000000,2974.224155
true,27903.625875,5,4,0,0,4,0.000000,0.000000,27903.625875
true,71572.103399,10,5,0,0,5,0.000000,0.000000,71572.103399
true,53885.700477,6,4,0,0,4,0.000000,0.000000,53885.700477
true,1548.640977,15,1,0,0,1,0.000000,0.000000,1548.640977
true,15915.608983,12,2,0,0,2,0.000000,0.000000,15915.608983
true,5369.651385,13,2,0,0,2,0.000000,0.000000,5369.651385
