iter,elapsed_hours,progress_pct,entropy_coef,heuristic_bc_coef,best_days_mean,succ,day_ge5,day_ge6,days_mean,days_p50,days_p90,return_mean,stockout_mean,approx_kl,clip_frac,value_mse,heur_match
9700,2.6541,18.96,0.010024,0.163985,5.0633,0.000000,0.793333,0.370000,5.0633,5.0000,6.0000,-5.8652,29408.8333,0.075218,0.525391,0.013250,0.377686
9720,2.6602,19.00,0.010014,0.163903,5.0433,0.000000,0.786667,0.346667,5.0433,5.0000,6.0000,-6.0027,31863.6199,0.060099,0.492188,0.010236,0.383545
9740,2.6662,19.04,0.010004,0.163820,5.0167,0.000000,0.770000,0.373333,5.0167,5.0000,6.0000,-6.0703,30315.3524,0.069708,0.510010,0.010445,0.375977
9760,2.6723,19.09,0.009993,0.163738,4.9800,0.000000,0.770000,0.343333,4.9800,5.0000,6.0000,-6.0829,27600.5748,0.078450,0.493164,0.009439,0.407715
9780,2.6784,19.13,0.009983,0.163656,5.1033,0.000000,0.803333,0.380000,5.1033,5.0000,6.0000,-5.7449,28997.0437,0.101481,0.552734,0.011763,0.376709
9800,2.6844,19.17,0.009973,0.163573,5.1200,0.000000,0.813333,0.370000,5.1200,5.0000,6.0000,-5.7536,31863.5356,0.098549,0.545898,0.012666,0.375488
9820,2.6905,19.22,0.009963,0.163492,5.0167,0.000000,0.790000,0.343333,5.0167,5.0000,6.0000,-5.9975,29593.6690,0.052467,0.455811,0.005703,0.403809
9840,2.6966,19.26,0.009953,0.163409,5.1400,0.000000,0.813333,0.386667,5.1400,5.0000,6.0000,-5.7347,32509.9819,0.066403,0.489990,0.007487,0.401123
9860,2.7026,19.30,0.009943,0.163327,5.0867,0.000000,0.800000,0.370000,5.0867,5.0000,6.0000,-5.9060,31963.7337,0.074972,0.513672,0.003676,0.381592
9880,2.7087,19.35,0.009933,0.163245,5.0933,0.000000,0.820000,0.360000,5.0933,5.0000,6.0000,-5.7343,29386.6195,0.085599,0.526367,0.009258,0.367188
9900,2.7147,19.39,0.009922,0.163162,5.1733,0.000000,0.830000,0.413333,5.1733,5.0000,6.0000,-5.5819,32384.5834,0.071018,0.520752,0.007055,0.385742
9920,2.7208,19.43,0.009912,0.163080,5.0433,0.000000,0.783333,0.370000,5.0433,5.0000,6.0000,-5.9787,30741.2365,0.076553,0.528809,0.006593,0.363281
9940,2.7268,19.48,0.009902,0.162998,5.0733,0.000000,0.796667,0.376667,5.0733,5.0000,6.0000,-5.9042,31113.6754,0.080414,0.510986,0.004956,0.394531
9960,2.7329,19.52,0.009892,0.162916,5.0100,0.000000,0.783333,0.346667,5.0100,5.0000,6.0000,-6.0250,29302.2065,0.068089,0.525635,0.007107,0.399414
9980,2.7389,19.56,0.009882,0.162834,5.1500,0.000000,0.830000,0.390000,5.1500,5.0000,6.0000,-5.7186,33538.2198,0.075387,0.512695,0.007182,0.397461
10000,2.7450,19.61,0.009872,0.162752,5.0800,0.000000,0.800000,0.390000,5.0800,5.0000,6.0000,-5.8018,29340.2499,0.067237,0.494873,0.005651,0.395752
10020,2.7511,19.65,0.009862,0.162669,5.0467,0.000000,0.800000,0.360000,5.0467,5.0000,6.0000,-5.9879,30795.5956,0.060166,0.493652,0.004706,0.399658
10040,2.7571,19.69,0.009852,0.162587,5.0967,0.000000,0.803333,0.376667,5.0967,5.0000,6.0000,-5.8568,31843.8227,0.085325,0.519775,0.006099,0.374268
10060,2.7631,19.74,0.009842,0.162505,5.1033,0.000000,0.810000,0.410000,5.1033,5.0000,6.0000,-5.8749,32831.2299,0.111936,0.533691,0.023855,0.405518
10080,2.7692,19.78,0.009832,0.162424,5.1133,0.000000,0.810000,0.390000,5.1133,5.0000,6.0000,-5.6872,28956.4173,0.065624,0.500000,0.005228,0.399902
10100,2.7752,19.82,0.009822,0.162342,5.0700,0.000000,0.796667,0.363333,5.0700,5.0000,6.0000,-5.8675,29537.5834,0.081706,0.489990,0.012821,0.390625
10120,2.7812,19.87,0.009812,0.162260,4.9933,0.000000,0.780000,0.333333,4.9933,5.0000,6.0000,-6.1010,28923.5797,0.067047,0.503906,0.009610,0.387939
10140,2.7873,19.91,0.009802,0.162177,5.1200,0.000000,0.810000,0.406667,5.1200,5.0000,6.0000,-5.7565,32092.9965,0.091557,0.526123,0.019068,0.413574
10160,2.7934,19.95,0.009792,0.162095,5.1233,0.000000,0.823333,0.390000,5.1233,5.0000,6.0000,-5.7599,31761.6950,0.092535,0.538086,0.009707,0.371338
10180,2.7994,20.00,0.009782,0.162013,5.0467,0.000000,0.790000,0.373333,5.0467,5.0000,6.0000,-5.8922,27765.5655,0.078069,0.527832,0.006833,0.397217
10200,2.8055,20.04,0.009772,0.161931,5.1100,0.000000,0.816667,0.383333,5.1100,5.0000,6.0000,-5.7511,30236.7476,0.076914,0.515625,0.005778,0.396240
10220,2.8116,20.08,0.009761,0.161848,5.1100,0.000000,0.800000,0.403333,5.1100,5.0000,6.0000,-5.8404,33946.4379,0.057801,0.495850,0.006573,0.394775
10240,2.8177,20.13,0.009751,0.161765,5.1500,0.000000,0.816667,0.413333,5.1500,5.0000,6.0000,-5.6703,32543.1179,0.077239,0.520264,0.006453,0.401855
10260,2.8237,20.17,0.009741,0.161683,5.1100,0.000000,0.810000,0.376667,5.1100,5.0000,6.0000,-5.7393,30062.3767,0.060104,0.509277,0.005628,0.405273
10280,2.8298,20.21,0.009731,0.161601,5.0033,0.000000,0.776667,0.343333,5.0033,5.0000,6.0000,-6.1245,30519.7606,0.069096,0.527832,0.004210,0.366455
10300,2.8358,20.26,0.009721,0.161519,5.1033,0.000000,0.810000,0.373333,5.1033,5.0000,6.0000,-5.7689,30788.4833,0.080270,0.506348,0.012635,0.373047
10320,2.8417,20.30,0.009712,0.161439,5.0900,0.000000,0.790000,0.380000,5.0900,5.0000,6.0000,-5.9239,33274.4865,0.094224,0.521973,0.012656,0.372070
10340,2.8478,20.34,0.009702,0.161357,5.0500,0.000000,0.793333,0.373333,5.0500,5.0000,6.0000,-5.9736,30398.2321,0.069722,0.509277,0.004948,0.360596
10360,2.8538,20.38,0.009692,0.161274,5.1267,0.000000,0.826667,0.380000,5.1267,5.0000,6.0000,-5.6384,29443.8387,0.100181,0.557129,0.012372,0.382568
10380,2.8599,20.43,0.009682,0.161192,5.0467,0.000000,0.786667,0.383333,5.0467,5.0000,6.0000,-6.0001,31983.4645,0.097821,0.529297,0.019307,0.368652
10400,2.8660,20.47,0.009672,0.161110,5.0733,0.000000,0.793333,0.366667,5.0733,5.0000,6.0000,-5.7749,28155.6337,0.077126,0.502686,0.008944,0.398193
10420,2.8721,20.51,0.009662,0.161027,5.1000,0.000000,0.796667,0.376667,5.1000,5.0000,6.0000,-5.8012,31403.7808,0.065936,0.513672,0.014291,0.396729
10440,2.8781,20.56,0.009652,0.160946,5.0633,0.000000,0.800000,0.340000,5.0633,5.0000,6.0000,-5.7902,27582.9914,0.079779,0.525391,0.007835,0.403076
10460,2.8842,20.60,0.009642,0.160862,5.1067,0.000000,0.806667,0.383333,5.1067,5.0000,6.0000,-5.7137,28864.2943,0.079993,0.498535,0.005996,0.392822
10480,2.8902,20.64,0.009632,0.160781,5.0967,0.000000,0.793333,0.383333,5.0967,5.0000,6.0000,-5.7499,29842.2957,0.056700,0.487549,0.002340,0.413086
10500,2.8961,20.69,0.009622,0.160701,5.0367,0.000000,0.780000,0.353333,5.0367,5.0000,6.0000,-6.0261,30949.6306,0.075345,0.478516,0.004494,0.424316
10520,2.9021,20.73,0.009612,0.160619,4.9533,0.000000,0.760000,0.340000,4.9533,5.0000,6.0000,-6.2320,29370.3563,0.074627,0.518311,0.011037,0.398193
10540,2.9082,20.77,0.009602,0.160537,5.0767,0.000000,0.803333,0.360000,5.0767,5.0000,6.0000,-5.8976,32203.5611,0.081706,0.492432,0.007268,0.383545
10560,2.9142,20.82,0.009592,0.160455,5.0200,0.000000,0.773333,0.363333,5.0200,5.0000,6.0000,-6.0906,31576.9510,0.074932,0.496338,0.012921,0.379150
10580,2.9203,20.86,0.009582,0.160373,5.0800,0.000000,0.790000,0.383333,5.0800,5.0000,6.0000,-5.8760,31878.3849,0.072326,0.516602,0.009276,0.393799
10600,2.9264,20.90,0.009572,0.160289,5.1700,0.000000,0.836667,0.396667,5.1700,5.0000,6.0000,-5.6089,33392.1324,0.063598,0.490234,0.011483,0.367920
10620,2.9325,20.95,0.009562,0.160207,5.0467,0.000000,0.780000,0.366667,5.0467,5.0000,6.0000,-5.9885,30326.8638,0.089750,0.507080,0.018771,0.407227
10640,2.9386,20.99,0.009552,0.160124,5.1600,0.000000,0.820000,0.420000,5.1600,5.0000,6.0000,-5.5922,30633.9859,0.059307,0.486572,0.002880,0.390381
10660,2.9446,21.03,0.009543,0.160043,5.0867,0.000000,0.800000,0.380000,5.0867,5.0000,6.0000,-5.7595,28313.1632,0.073110,0.511719,0.004260,0.398438
10680,2.9507,21.08,0.009533,0.159960,5.0833,0.000000,0.800000,0.373333,5.0833,5.0000,6.0000,-5.9004,32761.1808,0.061501,0.489746,0.004556,0.390137
10700,2.9568,21.12,0.009523,0.159877,5.1733,0.000000,0.830000,0.413333,5.1733,5.0000,6.0000,-5.6004,32148.7690,0.088889,0.512207,0.013277,0.399414
10720,2.9628,21.16,0.009513,0.159796,5.0833,0.000000,0.793333,0.380000,5.0833,5.0000,6.0000,-5.8215,29918.3521,0.060655,0.486084,0.004110,0.399902
10740,2.9688,21.21,0.009503,0.159714,4.9667,0.000000,0.750000,0.350000,4.9667,5.0000,6.0000,-6.1856,29718.0990,0.071278,0.498047,0.004994,0.387207
10760,2.9750,21.25,0.009493,0.159631,5.0933,0.000000,0.816667,0.373333,5.0933,5.0000,6.0000,-5.7681,29747.7338,0.075740,0.525391,0.004174,0.378662
10780,2.9810,21.29,0.009483,0.159548,5.0767,0.000000,0.800000,0.386667,5.0767,5.0000,6.0000,-5.8713,30970.1776,0.063512,0.501465,0.007234,0.409912
10800,2.9871,21.34,0.009473,0.159466,5.0767,0.000000,0.800000,0.370000,5.0767,5.0000,6.0000,-5.8944,31883.4523,0.064510,0.483643,0.005133,0.402344
10820,2.9932,21.38,0.009463,0.159383,5.0333,0.000000,0.800000,0.316667,5.0333,5.0000,6.0000,-5.9086,28564.1677,0.075608,0.514893,0.006058,0.385498
10840,2.9993,21.42,0.009453,0.159301,5.0367,0.000000,0.790000,0.356667,5.0367,5.0000,6.0000,-5.9645,29614.6751,0.130359,0.557861,0.011134,0.388184
10860,3.0054,21.47,0.009443,0.159218,5.1433,0.000000,0.813333,0.406667,5.1433,5.0000,6.0000,-5.6968,33194.8224,0.095335,0.547852,0.003031,0.401367
10880,3.0114,21.51,0.009434,0.159136,5.1000,0.000000,0.806667,0.380000,5.1000,5.0000,6.0000,-5.7631,30576.1748,0.109817,0.544434,0.011595,0.373535
10900,3.0175,21.55,0.009424,0.159053,4.9833,0.000000,0.760000,0.353333,4.9833,5.0000,6.0000,-6.1616,29363.1664,0.087041,0.540527,0.005596,0.376221
10920,3.0236,21.60,0.009414,0.158970,5.0967,0.000000,0.803333,0.383333,5.0967,5.0000,6.0000,-5.7902,30014.7614,0.080533,0.518066,0.004553,0.401855
10940,3.0298,21.64,0.009404,0.158887,5.0533,0.000000,0.790000,0.366667,5.0533,5.0000,6.0000,-5.9601,30735.7089,0.073980,0.521729,0.011534,0.404297
10960,3.0359,21.69,0.009394,0.158803,5.1100,0.000000,0.806667,0.386667,5.1100,5.0000,6.0000,-5.8021,32614.4956,0.066428,0.514893,0.007526,0.395752
10980,3.0421,21.73,0.009384,0.158720,5.1533,0.000000,0.833333,0.410000,5.1533,5.0000,6.0000,-5.7049,33856.2194,0.080083,0.523682,0.006416,0.393799
11000,3.0481,21.77,0.009374,0.158638,5.0867,0.000000,0.803333,0.373333,5.0867,5.0000,6.0000,-5.8391,31288.9990,0.065874,0.524414,0.012798,0.394775
11020,3.0542,21.82,0.009364,0.158555,5.1200,0.000000,0.813333,0.376667,5.1200,5.0000,6.0000,-5.7135,31029.6012,0.087138,0.517578,0.004034,0.398193
11040,3.0603,21.86,0.009354,0.158473,5.0233,0.000000,0.773333,0.376667,5.0233,5.0000,6.0000,-5.9842,29180.2917,0.093362,0.498047,0.003572,0.409180
11060,3.0664,21.90,0.009344,0.158390,5.1000,0.000000,0.806667,0.400000,5.1000,5.0000,6.0000,-5.8316,32331.2478,0.076941,0.510254,0.006883,0.378906
11080,3.0725,21.95,0.009335,0.158307,5.1400,0.000000,0.816667,0.390000,5.1400,5.0000,6.0000,-5.7294,33408.7775,0.093039,0.527344,0.008349,0.402588
11100,3.0786,21.99,0.009325,0.158224,5.0467,0.000000,0.790000,0.363333,5.0467,5.0000,6.0000,-6.0797,34374.8554,0.066703,0.529053,0.008314,0.403320
11120,3.0847,22.03,0.009315,0.158141,5.0033,0.000000,0.783333,0.346667,5.0033,5.0000,6.0000,-6.0571,29897.9344,0.056890,0.485840,0.005885,0.405762
11140,3.0908,22.08,0.009305,0.158058,5.0133,0.000000,0.776667,0.346667,5.0133,5.0000,6.0000,-6.0371,29826.8731,0.078012,0.504150,0.003482,0.404785
11160,3.0969,22.12,0.009295,0.157976,5.1000,0.000000,0.803333,0.396667,5.1000,5.0000,6.0000,-5.7363,29064.3399,0.064205,0.492432,0.003522,0.391357
11180,3.1030,22.16,0.009285,0.157893,5.0267,0.000000,0.776667,0.380000,5.0267,5.0000,6.0000,-6.1188,33573.0744,0.082569,0.499512,0.009933,0.395264
11200,3.1091,22.21,0.009276,0.157811,5.0700,0.000000,0.793333,0.390000,5.0700,5.0000,6.0000,-5.9115,31487.5013,0.062233,0.509277,0.005541,0.390381
11220,3.1152,22.25,0.009266,0.157728,5.0300,0.000000,0.786667,0.373333,5.0300,5.0000,6.0000,-6.0073,30499.7615,0.085056,0.508301,0.009835,0.395264
11240,3.1213,22.29,0.009256,0.157645,5.0633,0.000000,0.803333,0.363333,5.0633,5.0000,6.0000,-5.9968,33236.9093,0.081025,0.504150,0.007467,0.407471
11260,3.1274,22.34,0.009246,0.157562,5.0667,0.000000,0.803333,0.356667,5.0667,5.0000,6.0000,-5.9897,33383.3471,0.073068,0.521729,0.003064,0.386230
11280,3.1334,22.38,0.009236,0.157480,5.0667,0.000000,0.803333,0.350000,5.0667,5.0000,6.0000,-5.8690,30021.6858,0.078311,0.511963,0.005845,0.396973
11300,3.1395,22.43,0.009226,0.157397,5.0900,0.000000,0.806667,0.376667,5.0900,5.0000,6.0000,-5.8101,31261.5377,0.087122,0.521240,0.005186,0.392822
11320,3.1456,22.47,0.009217,0.157314,5.0533,0.000000,0.806667,0.346667,5.0533,5.0000,6.0000,-5.8856,28521.1398,0.082006,0.516357,0.013357,0.413330
11340,3.1517,22.51,0.009207,0.157232,5.1233,0.000000,0.813333,0.383333,5.1233,5.0000,6.0000,-5.6486,29115.9326,0.081992,0.522705,0.005404,0.376709
11360,3.1579,22.56,0.009197,0.157148,5.1467,0.000000,0.823333,0.400000,5.1467,5.0000,6.0000,-5.6063,30093.9520,0.065627,0.518066,0.010389,0.402832
11380,3.1640,22.60,0.009187,0.157065,5.0333,0.000000,0.796667,0.336667,5.0333,5.0000,6.0000,-5.9053,28410.0902,0.130640,0.537842,0.015832,0.379150
11400,3.1700,22.64,0.009178,0.156983,5.1533,0.000000,0.810000,0.413333,5.1533,5.0000,6.0000,-5.6557,32230.4766,0.094342,0.522461,0.007509,0.397461
11420,3.1761,22.69,0.009168,0.156901,5.0267,0.000000,0.800000,0.330000,5.0267,5.0000,6.0000,-6.0000,30384.6117,0.103082,0.540039,0.007320,0.373047
11440,3.1822,22.73,0.009158,0.156818,5.0100,0.000000,0.780000,0.343333,5.0100,5.0000,6.0000,-6.0480,29532.4773,0.087103,0.515137,0.005557,0.395508
11460,3.1883,22.77,0.009148,0.156736,5.1233,0.000000,0.813333,0.390000,5.1233,5.0000,6.0000,-5.6556,29636.6325,0.071824,0.513916,0.010538,0.421387
11480,3.1944,22.82,0.009139,0.156653,5.1167,0.000000,0.806667,0.403333,5.1167,5.0000,6.0000,-5.9136,35515.7795,0.088824,0.496826,0.003707,0.367676
11500,3.2005,22.86,0.009129,0.156570,5.1233,0.000000,0.820000,0.383333,5.1233,5.0000,6.0000,-5.7588,31625.0435,0.076305,0.519287,0.005978,0.377930
11520,3.2065,22.90,0.009119,0.156489,4.9800,0.000000,0.760000,0.360000,4.9800,5.0000,6.0000,-6.1618,30042.3694,0.087171,0.518311,0.013804,0.418457
11540,3.2126,22.95,0.009109,0.156406,4.9867,0.000000,0.760000,0.340000,4.9867,5.0000,6.0000,-6.1567,30625.6830,0.060279,0.501221,0.002609,0.388916
11560,3.2187,22.99,0.009100,0.156323,4.9733,0.000000,0.753333,0.346667,4.9733,5.0000,6.0000,-6.1567,28454.0370,0.077357,0.512695,0.009504,0.413818
11580,3.2248,23.03,0.009090,0.156240,5.0600,0.000000,0.803333,0.366667,5.0600,5.0000,6.0000,-5.8224,27940.3114,0.084248,0.550049,0.008183,0.399902
11600,3.2309,23.08,0.009080,0.156158,5.0400,0.000000,0.786667,0.336667,5.0400,5.0000,6.0000,-5.9201,28825.9064,0.088036,0.521973,0.008497,0.376221
11620,3.2370,23.12,0.009071,0.156075,5.0867,0.000000,0.793333,0.380000,5.0867,5.0000,6.0000,-5.8913,32568.8485,0.079835,0.505127,0.007510,0.402588
11640,3.2431,23.16,0.009061,0.155992,5.1133,0.000000,0.816667,0.383333,5.1133,5.0000,6.0000,-5.7153,29279.2831,0.092483,0.532959,0.003839,0.410889
11660,3.2492,23.21,0.009051,0.155909,5.0700,0.000000,0.796667,0.383333,5.0700,5.0000,6.0000,-5.8321,28766.5963,0.075113,0.502197,0.004787,0.404785
11680,3.2553,23.25,0.009041,0.155825,4.9833,0.000000,0.770000,0.346667,4.9833,5.0000,6.0000,-6.1581,30098.7904,0.065946,0.478516,0.009678,0.382324
11700,3.2615,23.30,0.009032,0.155742,5.1067,0.000000,0.820000,0.370000,5.1067,5.0000,6.0000,-5.7945,32149.5717,0.108858,0.553955,0.018063,0.382324
11720,3.2676,23.34,0.009022,0.155659,5.0233,0.000000,0.786667,0.346667,5.0233,5.0000,6.0000,-6.0755,31233.0540,0.085676,0.509521,0.015097,0.368164
11740,3.2737,23.38,0.009012,0.155576,5.1100,0.000000,0.816667,0.363333,5.1100,5.0000,6.0000,-5.7971,33033.9343,0.109744,0.533936,0.013473,0.408691
11760,3.2798,23.43,0.009002,0.155493,5.0800,0.000000,0.810000,0.366667,5.0800,5.0000,6.0000,-5.8708,31366.8452,0.108014,0.544434,0.013245,0.376709
11780,3.2859,23.47,0.008993,0.155410,5.0500,0.000000,0.783333,0.360000,5.0500,5.0000,6.0000,-5.9292,30365.6645,0.091611,0.519043,0.009947,0.404785
11800,3.2921,23.52,0.008983,0.155326,5.0100,0.000000,0.793333,0.326667,5.0100,5.0000,6.0000,-6.1421,31819.5309,0.070938,0.496582,0.006504,0.387939
11820,3.2982,23.56,0.008973,0.155243,5.1500,0.000000,0.823333,0.390000,5.1500,5.0000,6.0000,-5.6623,32234.4208,0.069953,0.513428,0.012289,0.377686
11840,3.3044,23.60,0.008964,0.155160,5.0800,0.000000,0.806667,0.386667,5.0800,5.0000,6.0000,-5.8882,32487.5780,0.082574,0.527344,0.013189,0.415527
11860,3.3105,23.65,0.008954,0.155077,5.1533,0.000000,0.823333,0.420000,5.1533,5.0000,6.0000,-5.6699,31520.6738,0.090505,0.523193,0.009844,0.390869
11880,3.3167,23.69,0.008944,0.154994,4.9467,0.000000,0.753333,0.330000,4.9467,5.0000,6.0000,-6.2730,30165.5096,0.079790,0.510498,0.018105,0.404053
11900,3.3228,23.73,0.008934,0.154910,5.0233,0.000000,0.770000,0.366667,5.0233,5.0000,6.0000,-6.0264,29951.4454,0.065434,0.515381,0.005012,0.393066
11920,3.3288,23.78,0.008925,0.154828,5.1133,0.000000,0.813333,0.393333,5.1133,5.0000,6.0000,-5.7285,30604.2868,0.079944,0.508545,0.004917,0.405518
11940,3.3349,23.82,0.008915,0.154746,5.0400,0.000000,0.793333,0.366667,5.0400,5.0000,6.0000,-6.0427,31854.9562,0.079997,0.514648,0.007968,0.396484
11960,3.3410,23.86,0.008906,0.154664,5.0033,0.000000,0.780000,0.356667,5.0033,5.0000,6.0000,-6.0351,28804.7939,0.062721,0.507568,0.011397,0.398682
11980,3.3471,23.91,0.008896,0.154581,5.0400,0.000000,0.790000,0.370000,5.0400,5.0000,6.0000,-6.0151,31478.4871,0.089501,0.505859,0.020136,0.396484
12000,3.3532,23.95,0.008887,0.154497,5.0533,0.000000,0.800000,0.363333,5.0533,5.0000,6.0000,-5.9111,30530.3528,0.072000,0.523438,0.007719,0.392334
12020,3.3593,24.00,0.008877,0.154414,5.0833,0.000000,0.793333,0.390000,5.0833,5.0000,6.0000,-5.8380,30480.6697,0.072482,0.510742,0.019421,0.413086
12040,3.3655,24.04,0.008867,0.154331,5.0967,0.000000,0.790000,0.410000,5.0967,5.0000,6.0000,-5.8723,32446.1966,0.046701,0.517090,0.005953,0.401123
12060,3.3715,24.08,0.008858,0.154249,5.0967,0.000000,0.813333,0.386667,5.0967,5.0000,6.0000,-5.8775,32955.9337,0.090855,0.546143,0.003466,0.384766
12080,3.3777,24.13,0.008848,0.154165,5.1400,0.000000,0.816667,0.403333,5.1400,5.0000,6.0000,-5.7025,31820.7451,0.064444,0.517090,0.006938,0.409424
12100,3.3837,24.17,0.008838,0.154083,5.0900,0.000000,0.803333,0.400000,5.0900,5.0000,6.0000,-5.8383,30079.1868,0.069102,0.483398,0.008813,0.402832
12120,3.3899,24.21,0.008829,0.154000,5.0700,0.000000,0.800000,0.370000,5.0700,5.0000,6.0000,-5.8816,29739.3100,0.074587,0.486328,0.005922,0.407959
12140,3.3960,24.26,0.008819,0.153916,5.0733,0.000000,0.800000,0.363333,5.0733,5.0000,6.0000,-5.8520,30014.9015,0.086010,0.511475,0.004941,0.412354
12160,3.4022,24.30,0.008810,0.153833,5.0600,0.000000,0.793333,0.390000,5.0600,5.0000,6.0000,-5.9387,30169.7183,0.069618,0.490967,0.009947,0.409180
12180,3.4083,24.35,0.008800,0.153749,5.1200,0.000000,0.813333,0.393333,5.1200,5.0000,6.0000,-5.8482,35246.7242,0.098374,0.536377,0.022061,0.387695
12200,3.4145,24.39,0.008790,0.153666,5.0333,0.000000,0.796667,0.356667,5.0333,5.0000,6.0000,-6.0445,31696.8174,0.084757,0.510010,0.007959,0.411621
12220,3.4206,24.43,0.008781,0.153583,5.0067,0.000000,0.776667,0.373333,5.0067,5.0000,6.0000,-6.0676,29346.7462,0.086520,0.516846,0.014278,0.415771
12240,3.4267,24.48,0.008771,0.153499,5.0767,0.000000,0.803333,0.376667,5.0767,5.0000,6.0000,-5.9895,34302.0181,0.090899,0.511963,0.018321,0.409424
12260,3.4329,24.52,0.008761,0.153416,5.0467,0.000000,0.786667,0.366667,5.0467,5.0000,6.0000,-6.0504,33161.8002,0.084278,0.522217,0.003073,0.392334
12280,3.4391,24.56,0.008752,0.153332,5.0833,0.000000,0.793333,0.386667,5.0833,5.0000,6.0000,-5.8514,30653.2340,0.102956,0.540283,0.019096,0.384521
12300,3.4452,24.61,0.008742,0.153249,5.1667,0.000000,0.826667,0.423333,5.1667,5.0000,6.0000,-5.6447,33029.3083,0.097320,0.505859,0.006262,0.408691
12320,3.4514,24.65,0.008733,0.153165,5.0533,0.000000,0.796667,0.346667,5.0533,5.0000,6.0000,-5.9221,30419.9177,0.071609,0.501709,0.013619,0.396484
12340,3.4575,24.70,0.008723,0.153081,5.1100,0.000000,0.820000,0.366667,5.1100,5.0000,6.0000,-5.7904,31862.7256,0.071206,0.500000,0.004135,0.376953
12360,3.4637,24.74,0.008713,0.152998,5.0800,0.000000,0.793333,0.370000,5.0800,5.0000,6.0000,-5.8935,31754.4177,0.072427,0.510010,0.002846,0.391357
12380,3.4699,24.78,0.008704,0.152914,5.0600,0.000000,0.776667,0.373333,5.0600,5.0000,6.0000,-5.9857,32437.2442,0.084373,0.525391,0.007053,0.393066
12400,3.4761,24.83,0.008694,0.152830,5.1533,0.000000,0.836667,0.393333,5.1533,5.0000,6.0000,-5.6071,30643.5076,0.077709,0.521240,0.011730,0.408691
12420,3.4823,24.87,0.008684,0.152746,5.1233,0.000000,0.820000,0.386667,5.1233,5.0000,6.0000,-5.6850,30105.3682,0.101622,0.522705,0.014995,0.406494
12440,3.4884,24.92,0.008675,0.152662,5.0300,0.000000,0.780000,0.370000,5.0300,5.0000,6.0000,-6.0488,31910.6618,0.064009,0.495605,0.003680,0.390381
12460,3.4947,24.96,0.008665,0.152578,5.1200,0.000000,0.813333,0.393333,5.1200,5.0000,6.0000,-5.7737,32788.1600,0.080896,0.506348,0.011489,0.405029
12480,3.5009,25.01,0.008656,0.152494,5.0900,0.000000,0.803333,0.373333,5.0900,5.0000,6.0000,-5.8267,30915.3047,0.109048,0.515381,0.009771,0.391113
12500,3.5070,25.05,0.008646,0.152410,5.0767,0.000000,0.806667,0.346667,5.0767,5.0000,6.0000,-5.8254,30435.2666,0.070442,0.495361,0.004201,0.403076
12520,3.5132,25.09,0.008636,0.152326,5.0067,0.000000,0.776667,0.353333,5.0067,5.0000,6.0000,-6.1426,31586.9656,0.080525,0.527100,0.007373,0.399902
12540,3.5193,25.14,0.008627,0.152243,5.0900,0.000000,0.796667,0.386667,5.0900,5.0000,6.0000,-5.8694,32382.6921,0.089743,0.537598,0.008927,0.394531
12560,3.5255,25.18,0.008617,0.152160,5.0700,0.000000,0.806667,0.373333,5.0700,5.0000,6.0000,-5.9079,31293.1497,0.060764,0.503906,0.019362,0.417725
12580,3.5317,25.23,0.008608,0.152076,4.9667,0.000000,0.756667,0.353333,4.9667,5.0000,6.0000,-6.1504,28047.8662,0.080773,0.516357,0.005758,0.389160
12600,3.5379,25.27,0.008598,0.151991,5.0733,0.000000,0.790000,0.383333,5.0733,5.0000,6.0000,-5.8491,29455.7048,0.091528,0.524902,0.005937,0.418213
12620,3.5441,25.31,0.008589,0.151907,5.0600,0.000000,0.790000,0.383333,5.0600,5.0000,6.0000,-5.8652,28407.2502,0.075058,0.510498,0.008600,0.426514
12640,3.5502,25.36,0.008579,0.151823,5.0367,0.000000,0.793333,0.360000,5.0367,5.0000,6.0000,-6.0518,31888.7526,0.065404,0.503174,0.006945,0.398438
12660,3.5564,25.40,0.008569,0.151740,5.0200,0.000000,0.783333,0.350000,5.0200,5.0000,6.0000,-6.1003,31723.4867,0.082430,0.538086,0.008727,0.394531
12680,3.5625,25.45,0.008560,0.151656,5.1033,0.000000,0.820000,0.386667,5.1033,5.0000,6.0000,-5.7270,29272.5492,0.071974,0.520996,0.006275,0.398926
12700,3.5687,25.49,0.008550,0.151573,5.0767,0.000000,0.790000,0.393333,5.0767,5.0000,6.0000,-5.7625,27962.8093,0.080403,0.517822,0.007349,0.398682
12720,3.5749,25.54,0.008541,0.151489,5.0700,0.000000,0.793333,0.373333,5.0700,5.0000,6.0000,-5.9451,32577.3724,0.059599,0.482666,0.008533,0.407227
12740,3.5811,25.58,0.008531,0.151404,5.0633,0.000000,0.786667,0.366667,5.0633,5.0000,6.0000,-5.8687,29253.3649,0.098881,0.551270,0.018541,0.389404
12760,3.5873,25.62,0.008522,0.151321,5.1133,0.000000,0.820000,0.380000,5.1133,5.0000,6.0000,-5.8125,32477.2926,0.077983,0.483643,0.006058,0.400391
12780,3.5935,25.67,0.008512,0.151237,5.0967,0.000000,0.803333,0.393333,5.0967,5.0000,6.0000,-5.7364,29415.5211,0.139454,0.551025,0.021856,0.402588
12800,3.5997,25.71,0.008503,0.151152,5.1500,0.000000,0.833333,0.396667,5.1500,5.0000,6.0000,-5.6098,30777.5337,0.078824,0.543945,0.013613,0.411133
