iter,elapsed_hours,progress_pct,entropy_coef,heuristic_bc_coef,best_days_mean,succ,day_ge5,day_ge6,days_mean,days_p50,days_p90,return_mean,stockout_mean,approx_kl,clip_frac,value_mse,heur_match
720,0.1342,0.96,0.014724,0.198183,5.3400,0.000000,0.846667,0.493333,5.3400,5.0000,6.0000,-4.6609,25626.4958,0.056927,0.479248,0.018483,0.263428
740,0.1386,0.99,0.014715,0.198123,5.2367,0.000000,0.810000,0.486667,5.2367,5.0000,6.0000,-5.0139,24218.8345,0.050077,0.474121,0.022388,0.246094
760,0.1429,1.02,0.014706,0.198065,5.3267,0.000000,0.840000,0.523333,5.3267,6.0000,6.0000,-4.7907,25521.8689,0.028657,0.452148,0.005046,0.258545
780,0.1473,1.05,0.014697,0.198005,5.2600,0.000000,0.810000,0.483333,5.2600,5.0000,6.0000,-4.9645,24598.2893,0.025826,0.408447,0.004034,0.261719
800,0.1519,1.09,0.014688,0.197943,5.2967,0.000000,0.833333,0.490000,5.2967,5.0000,6.0000,-4.8658,23839.6882,0.042242,0.426514,0.006950,0.252686
820,0.1562,1.12,0.014679,0.197884,5.2067,0.000000,0.800000,0.466667,5.2067,5.0000,6.0000,-5.1236,22182.1398,0.042124,0.461182,0.012299,0.235107
840,0.1606,1.15,0.014670,0.197825,5.2567,0.000000,0.823333,0.476667,5.2567,5.0000,6.0000,-4.9699,24946.0521,0.028412,0.431152,0.009787,0.259766
860,0.1647,1.18,0.014661,0.197769,5.3500,0.000000,0.830000,0.503333,5.3500,6.0000,6.0000,-4.6376,22874.3885,0.035304,0.444336,0.005993,0.242188
880,0.1690,1.21,0.014653,0.197710,5.3033,0.000000,0.823333,0.496667,5.3033,5.0000,6.0000,-4.8251,24970.6838,0.046827,0.449463,0.019740,0.264893
900,0.1732,1.24,0.014644,0.197654,5.1000,0.000000,0.790000,0.383333,5.1000,5.0000,6.0000,-5.4223,21993.8488,0.045640,0.466064,0.006187,0.251709
920,0.1777,1.27,0.014635,0.197593,5.2400,0.000000,0.813333,0.500000,5.2400,5.5000,6.0000,-5.0150,23843.9747,0.036507,0.462891,0.014283,0.275146
940,0.1824,1.30,0.014625,0.197529,5.3533,0.000000,0.833333,0.523333,5.3533,6.0000,6.0000,-4.7108,26708.9744,0.039404,0.439697,0.007034,0.270020
960,0.1869,1.34,0.014616,0.197467,5.2767,0.000000,0.816667,0.510000,5.2767,6.0000,6.0000,-4.9652,24462.2553,0.040560,0.461182,0.009824,0.249512
980,0.1913,1.37,0.014607,0.197408,5.2233,0.000000,0.806667,0.476667,5.2233,5.0000,6.0000,-5.1416,25342.8514,0.038145,0.431885,0.003870,0.259277
1000,0.1957,1.40,0.014598,0.197348,5.2767,0.000000,0.836667,0.506667,5.2767,6.0000,6.0000,-5.0376,26902.9055,0.029440,0.414307,0.003337,0.261719
1020,0.2004,1.43,0.014589,0.197285,5.2433,0.000000,0.833333,0.456667,5.2433,5.0000,6.0000,-5.0719,25116.8890,0.050783,0.461182,0.011133,0.264648
1040,0.2051,1.46,0.014579,0.197221,5.2700,0.000000,0.840000,0.466667,5.2700,5.0000,6.0000,-5.0864,27843.1283,0.040182,0.447021,0.008809,0.274902
1060,0.2098,1.50,0.014569,0.197158,5.2800,0.000000,0.840000,0.466667,5.2800,5.0000,6.0000,-4.9921,25892.2607,0.050802,0.452881,0.012297,0.288818
1080,0.2146,1.53,0.014559,0.197092,5.2733,0.000000,0.840000,0.456667,5.2733,5.0000,6.0000,-5.0386,26123.4760,0.051124,0.455811,0.026639,0.285645
1100,0.2191,1.56,0.014550,0.197031,5.2400,0.000000,0.813333,0.510000,5.2400,6.0000,6.0000,-5.0827,24399.7641,0.033739,0.456543,0.004311,0.292236
1120,0.2237,1.60,0.014541,0.196969,5.1567,0.000000,0.806667,0.440000,5.1567,5.0000,6.0000,-5.3889,24925.5591,0.034007,0.446045,0.008385,0.294434
1140,0.2282,1.63,0.014532,0.196908,5.3667,0.000000,0.866667,0.516667,5.3667,6.0000,6.0000,-4.6780,26734.4816,0.044737,0.469238,0.003913,0.281494
1160,0.2327,1.66,0.014523,0.196847,5.1833,0.000000,0.826667,0.400000,5.1833,5.0000,6.0000,-5.2342,23873.6477,0.035494,0.465088,0.007772,0.277588
1180,0.2373,1.69,0.014513,0.196784,5.2167,0.000000,0.833333,0.456667,5.2167,5.0000,6.0000,-5.1407,24202.2209,0.037452,0.464355,0.002977,0.290527
1200,0.2419,1.73,0.014504,0.196722,5.4000,0.000000,0.870000,0.506667,5.4000,6.0000,6.0000,-4.5954,27110.7939,0.047670,0.459961,0.016118,0.281006
1220,0.2466,1.76,0.014494,0.196658,5.2233,0.000000,0.816667,0.446667,5.2233,5.0000,6.0000,-5.1709,26973.0820,0.051976,0.468018,0.014219,0.271973
1240,0.2512,1.79,0.014485,0.196595,5.1467,0.000000,0.773333,0.440000,5.1467,5.0000,6.0000,-5.4747,26791.7312,0.032369,0.434570,0.003851,0.307373
1260,0.2556,1.83,0.014476,0.196535,5.2033,0.000000,0.813333,0.436667,5.2033,5.0000,6.0000,-5.2863,26478.5396,0.048477,0.465332,0.013162,0.286377
